Year,# of Active Investors,# of Active 1st Round Investors,# of Active Life Science Investors,# of Active VC Investors,# of Active VC 1st Round Investors,# of Active Life Science Investors,# of Active US Investors,# of Active US 1st Round Investors,# of Active US Life Science Investors,# Active US VC Investors,# Active US VC 1st Round Investors,# Active US VC Life Science Investors
2004,"2,243",826,787,"1,181",502,451,"1,750",703,614,968,436,373
2005,"2,401",960,811,"1,209",526,458,"1,874",798,617,"1,025",471,374
2006,"2,587","1,112",812,"1,260",601,482,"2,017",906,656,"1,064",521,408
2007,"3,130","1,328","1,011","1,452",673,566,"2,419","1,074",811,"1,222",586,476
2008,"3,337","1,337",973,"1,509",636,545,"2,555","1,060",779,"1,267",541,458
2009,"2,891","1,148",844,"1,311",532,494,"2,198",922,685,"1,100",473,428
2010,"3,373","1,445",833,"1,440",610,479,"2,514","1,118",672,"1,217",533,413
2011,"4,452","2,067",943,"1,667",784,511,"3,084","1,535",760,"1,386",687,443
2012,"5,265","2,292",981,"1,960",814,546,"3,522","1,625",813,"1,559",707,473
2013,"6,153","2,408","1,066","2,025",812,537,"3,780","1,549",830,"1,684",725,450
2014,"6,635","2,018","1,154","2,057",628,555,"3,819","1,084",836,"1,751",534,468
2015,"8,792","3,619","1,514","2,524","1,150",681,"4,446","1,900",999,"2,072",960,569
2016,"8,867","3,493","1,326","2,828","1,326",680,"4,598","1,903",948,"2,320","1,100",575
2017,"9,833","3,684","1,723","3,357","1,666",903,"5,046","2,087","1,218","2,680","1,349",736
2018,"11,426","4,089","2,177","3,856","1,848","1,114","5,639","2,352","1,420","2,984","1,470",876
2019,"12,868","4,512","2,388","4,306","2,005","1,213","6,320","2,547","1,580","3,389","1,542",963
2020,"14,181","5,089","2,837","4,619","2,121","1,480","6,658","2,748","1,887","3,568","1,751","1,157"
2021,"20,217","8,040","3,647","5,975","3,097","1,797","8,578","3,692","2,261","4,385","2,383","1,354"
2022,"17,525","7,414","2,616","5,498","2,996","1,409","8,054","3,640","1,818","4,136","2,322","1,098"
2023,"11,543","4,732","2,147","4,640","2,498","1,252","6,289","2,757","1,534","3,525","1,920",990
