State,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
California,"15,944.30","9,324.51","7,930.89","14,887.92","13,283.75","9,522.33","24,325.77","22,176.47","31,317.94","22,597.70","89,570.80","41,891.06","40,119.96","42,810.26","87,669.35","36,982.64"
New York,"2,817.45","1,158.42","2,508.23","4,507.94","3,525.34","2,025.49","6,469.85","7,549.09","3,792.12","3,689.31","12,101.18","8,230.12","18,005.85","30,918.51","35,379.61","11,630.05"
Massachusetts,"3,289.10","2,286.57","3,363.01","1,830.69","1,869.64","4,156.54","2,796.66","3,211.29","6,239.48","6,992.53","6,206.81","6,949.85","9,211.85","10,726.04","14,622.42","5,808.53"
Florida,150,145.6,103.4,160.74,268,64.81,337.93,259.1,131.62,90.7,563.02,"5,979.38","1,637.22","5,851.73","11,883.46",723.11
Texas,343.18,10.1,195.55,865.1,59.61,"1,865.37",976.84,254.28,"1,414.88","2,036.11","2,615.23","1,811.72","2,505.33","5,626.31","3,847.53","1,197.09"
Maryland,100,"2,566.81",12.1,6,"2,827.48",531.2,82.8,"3,095.72",10,"3,439.39",232.33,"3,985.02","1,085.67",441.75,"3,368.60",100.5
Illinois,616.42,519.39,579.62,242.11,202.31,568.24,"1,019.88",678.24,"1,667.02","1,881.70","2,436.74","5,337.50","5,279.80",842.21,"1,165.28",896.27
Washington,816.36,2.5,6.35,-,328,724.4,340.75,"1,732.38",499.08,"1,709.26","2,708.34","4,065.92","2,652.92",870.34,"4,759.28",781.15
Virginia,224.06,124,597.28,1.12,133.85,233.93,317,761.06,666.07,321.55,490.5,"1,223.49",661.71,"2,828.77","1,876.81",792.28
District of Columbia,380,-,-,475,24,423.87,5,187.5,840.31,624.4,"3,193.03",598.57,"2,376.64",273.24,687.46,470.65
Connecticut,159.33,72.3,"1,059.29",23.38,536,211.1,688.93,132.75,413.2,655.9,116.82,"1,747.86","2,223.67",171.13,860.84,347.3
Pennsylvania,738.61,391.43,144.86,103.94,577.85,407,237.61,342.8,236.35,144.5,396.69,482.19,59.91,505.24,"1,090.50",14.32
Colorado,127.94,55.44,263.39,6.11,278.03,235.25,565.36,568.47,84.31,154.54,403.88,"1,268.95",386.01,706.7,575.93,227.59
Georgia,118.7,55,280,-,53.56,163.7,96.97,168.05,87.43,124.12,"1,045.65",209.09,955.83,294.36,"1,364.21",49.53
Utah,100,127.22,66.36,33,38.24,257.6,233.93,326.57,50,137.78,330.69,206.88,631.21,"1,167.07",680.14,74
Michigan,36,246.16,10.31,186.9,37.54,28.66,150.22,306.62,"1,228.60",226.09,49.03,33.75,370,115.7,481.16,224.47
Ohio,305.63,26.3,79.9,50.5,188.6,20.15,348.66,36.63,518.05,81.3,696.38,158.34,0.59,199.12,564.21,41.46
Minnesota,475.1,30,-,-,150.78,107.36,15.62,10.96,203.09,162.11,766.66,777.6,80.04,143.95,1.2,-
North Carolina,83,105.89,-,15,25.25,215,48.13,36.91,205.3,295.48,117.3,257.21,"1,075.44",433.47,140.58,66.1
Missouri,160,174.41,59.7,-,23.13,293.6,-,130,375,164.17,25,905.8,104.13,261.08,158.7,182.46
Tennessee,74.53,14,74.24,25.4,24.5,128.41,22.5,0.28,303.52,125.41,347.63,73.21,"1,094.98",184.33,169.99,196.41
New Jersey,41.65,516,-,-,349,3.47,33.55,8.5,315.11,-,411.96,398.67,54.37,83.2,101.91,-
Wyoming,8.38,30,-,-,-,-,-,21,200,-,40,100,745,600,115,-
New Hampshire,-,-,-,-,-,21,0.89,7.52,8.35,36.37,190.13,33.45,253.56,752.88,194.35,310.68
Hawaii,1.78,-,-,-,-,-,10,-,20,"1,210.18",436.31,-,-,-,-,-
Wisconsin,56.98,-,0.26,47.88,112.5,6.62,60.2,24.32,11.4,134,263.89,352.03,77.5,64.56,84,27.42
Arizona,20,-,192,53.73,104.5,144.2,4.75,24.79,29.38,181.39,303.97,26.51,204.22,5.55,-,-
Indiana,24.22,175,11.53,175.53,18.95,42,2.47,15.7,-,5.5,38.08,20,255.7,76.12,0.65,137.55
Oregon,12.55,3,20.35,4.63,14.11,105.8,35.61,18.31,28.63,42.68,133.63,113.53,12.33,117.01,42.6,51.33
Nevada,-,-,-,-,2.5,-,-,42.63,-,533.48,26.77,10.86,106,-,-,-
Iowa,3.46,-,-,3,1.4,1.8,-,48.25,21.13,0.38,2.75,281.52,41.6,80.65,2,11.21
Montana,-,-,-,-,-,-,0.5,19.81,151.53,2,31,0.1,1.54,24.3,27,330
Idaho,214,51.88,-,-,1.35,0.18,1.15,-,1.25,15,8.42,50,-,-,-,-
Delaware,-,100,15,-,4.9,-,10,2.38,15.5,-,11.66,16.5,6.84,26.74,57.44,-
Kentucky,175,-,-,3.7,7,-,-,7.45,-,3.1,22,25.53,-,-,-,-
Vermont,14,-,-,80,-,12,-,64,26.5,10.07,4.15,22.51,-,-,-,-
South Carolina,-,-,-,-,18.81,7.44,9.68,6,9,8.25,121.8,5,5,5,-,-
Louisiana,-,-,-,6,-,11.85,3,14.65,28.25,10,11.25,102.7,6.14,-,-,-
Oklahoma,-,-,10,-,1,13.2,-,126,13.9,20,-,-,-,-,-,-
New Mexico,-,-,10,0.15,-,8.74,-,9.75,2.7,0.41,30.73,106.97,3.65,-,-,-
Maine,-,-,10.14,-,2.4,123,-,10.15,19.35,-,-,-,-,-,-,-
Arkansas,-,2.6,0.5,19.81,151.53,2,31,0.1,1.54,24.3,21.25,-,-,-,-,-
Nebraska,-,-,-,-,-,-,-,-,-,-,-,330,39.5,27,-,-
Alabama,28.46,-,5,-,41.77,-,1.41,11.66,3.67,16.36,25,-,-,-,-,-
Kansas,-,-,2.6,0.05,-,-,0.19,26.4,31.83,25,27.2,5.73,-,-,-,-
Puerto Rico,-,-,-,-,-,-,-,-,-,-,1.35,0.99,100,-,-,-
Alaska,-,-,-,-,-,-,2.3,-,100,-,-,-,-,-,-,-
South Dakota,32.48,-,-,16,0.7,-,-,25,20,-,-,-,-,-,-,-
Virgin Islands,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
West Virginia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
North Dakota,-,-,-,-,-,-,3.5,-,1.8,0.4,-,-,-,-,-,-
Mississippi,-,-,2.3,-,-,-,-,-,-,-,-,-,-,-,-,-
Rhode Island,-,-,-,1.14,-,0.38,-,-,-,-,-,-,-,-,-,-
Ohio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.59
