State,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
California,582,615,640,725,757,644,718,846,963,1153,1393,1552,1621,1870,2181,2437,2575,3339,3209,2535
New York,80,109,133,180,204,182,261,362,418,539,668,767,827,947,1141,1318,1458,2168,2055,1498
Massachusetts,271,271,261,298,280,261,276,328,347,403,443,540,469,587,665,737,845,1145,1107,752
Texas,158,164,171,189,179,144,178,180,200,254,272,349,325,439,544,564,603,1037,1028,736
Washington,99,106,120,152,132,117,107,138,151,203,194,221,263,312,311,427,429,748,648,478
Colorado,82,100,103,107,123,82,-,123,132,127,181,200,230,271,269,395,430,633,556,394
Florida,41,43,51,82,49,57,57,74,85,116,134,130,164,185,253,305,351,756,810,484
Illinois,36,63,62,49,60,54,81,132,118,158,183,185,202,241,274,333,365,534,514,342
Pennsylvania,95,85,105,105,118,95,89,114,119,-,143,127,134,151,201,208,269,392,383,242
Georgia,64,45,67,20,54,39,59,68,83,78,104,140,91,134,172,184,239,343,380,192
North Carolina,65,56,63,81,88,65,60,80,66,70,82,117,115,129,158,187,188,311,348,240
Virginia,53,64,57,77,72,27,51,53,78,100,113,125,141,170,165,167,179,289,284,250
New Jersey,83,74,76,91,86,76,74,81,79,80,96,115,103,126,122,191,167,307,294,175
Utah,30,34,29,46,47,46,36,71,68,69,115,100,133,123,134,182,206,266,224,126
Maryland,63,50,62,80,71,55,46,86,63,58,103,81,88,111,139,150,198,207,183,159
Delaware,7,13,8,11,10,10,12,33,18,17,49,38,42,77,81,124,166,374,454,348
Ohio,26,37,23,32,46,36,37,45,78,86,105,94,107,97,139,144,164,211,231,144
Oregon,34,34,22,45,47,22,48,61,51,75,79,102,105,111,110,142,159,215,214,112
Minnesota,37,41,43,57,57,65,46,66,66,73,76,71,85,105,117,104,109,191,161,138
Michigan,18,32,13,24,28,15,33,40,56,67,74,100,66,89,105,122,137,204,197,136
Arizona,17,31,34,61,43,31,21,16,59,39,59,64,65,73,86,134,111,189,185,115
Tennessee,16,23,9,18,23,10,23,43,43,62,70,74,59,72,102,98,128,210,174,125
Connecticut,34,30,29,54,39,34,39,32,34,34,61,48,-,73,66,98,94,181,184,101
District of Columbia,8,15,12,9,9,14,15,17,24,49,49,49,-,63,73,94,98,203,158,121
Indiana,14,9,23,24,28,27,24,36,30,16,42,39,44,59,94,93,87,131,94,96
Nevada,10,10,11,14,5,5,9,10,25,29,55,48,68,-,55,70,71,146,157,78
Missouri,5,17,15,11,-,12,-,21,19,18,33,52,-,83,88,94,122,97,63,-
Wisconsin,15,15,-,17,-,10,27,21,23,24,39,34,-,61,64,56,93,75,60,-
New Hampshire,13,26,-,29,-,23,15,20,31,35,26,-,-,-,17,27,21,44,51,28
Kentucky,1,11,-,16,16,16,9,14,4,6,7,19,27,-,36,35,51,42,31,35
Kansas,2,5,-,5,4,-,9,14,20,13,21,-,47,30,26,25,35,55,36,-
South Carolina,7,5,-,1,2,8,3,8,16,16,-,-,-,42,44,29,52,45,29,-
New Mexico,9,19,11,22,17,-,2,16,13,16,7,-,-,-,18,23,30,39,28,40
Nebraska,1,5,-,2,-,1,5,3,14,14,25,-,-,-,19,17,14,60,42,27
Louisiana,5,-,-,-,-,5,-,12,-,11,-,-,-,14,30,27,30,42,35,-
Alabama,7,3,3,-,4,5,4,7,4,2,7,3,10,14,25,41,48,31,-,-
Oregon,34,34,22,45,47,22,48,61,51,75,79,102,105,111,110,142,159,215,214,112
Iowa,2,-,6,-,-,4,-,13,-,-,-,-,21,11,38,36,42,35,-,-
Montana,-,-,-,2,-,-,-,-,-,-,-,-,23,35,33,31,18,-,-,-
Vermont,-,-,2,6,9,5,17,-,-,-,-,-,-,21,15,45,31,29,-,-
Maine,1,8,1,-,-,-,-,-,-,-,-,-,28,26,-,26,23,16,-,-
Idaho,-,8,6,-,4,-,9,4,3,-,-,-,12,20,40,35,18,-,-,-
Wyoming,-,2,2,-,-,-,5,5,-,-,-,-,4,-,14,56,58,24,-,-
Oklahoma,1,2,5,-,3,-,-,-,-,-,-,-,12,20,17,37,21,-,-,-
Rhode Island,17,9,19,5,4,6,7,15,8,7,8,9,-,-,9,9,23,25,15,-
Arkansas,-,-,1,3,-,3,-,8,-,-,-,-,26,22,17,-,-,-,-,-
Puerto Rico,-,-,3,1,2,-,2,-,8,6,1,-,-,-,3,6,32,25,-,-
Mississippi,-,7,6,10,6,-,4,-,-,1,-,-,1,5,8,6,-,-,-,-
North Dakota,1,-,1,1,3,-,1,1,1,2,2,-,6,2,-,5,5,8,-,-
South Dakota,-,-,-,-,-,1,-,-,1,5,-,1,-,1,-,2,-,3,-,-
Alaska,-,-,-,-,-,-,-,1,-,-,1,-,3,4,-,-,-,-,-,-
Virgin Islands,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
West Virginia,4,3,2,-,2,2,-,-,-,-,-,-,-,5,8,-,-,-,-,-
